LAYERID,CURRENCY,BOUND FXRATE USD,PERIOD FXRATE USD,PERIOD FXDATE
46362,JPY,0.008682,0.007579,2022-12-31
46363,JPY,0.008682,0.007579,2022-12-31
46364,JPY,0.008682,0.007579,2022-12-31
46365,JPY,0.008682,0.007579,2022-12-31
46366,JPY,0.008682,0.007579,2022-12-31
46367,JPY,0.008682,0.007579,2022-12-31
46369,JPY,0.008682,0.007579,2022-12-31
46371,JPY,0.008682,0.007579,2022-12-31
46372,JPY,0.008682,0.007579,2022-12-31
46635,NZD,0.676750,0.632450,2022-12-31
46636,NZD,0.676750,0.632450,2022-12-31
46637,NZD,0.676750,0.632450,2022-12-31
46638,NZD,0.676750,0.632450,2022-12-31
47653,JPY,0.008682,0.007579,2022-12-31
47654,JPY,0.008682,0.007579,2022-12-31
47655,JPY,0.008682,0.007579,2022-12-31
47656,JPY,0.008682,0.007579,2022-12-31
47657,JPY,0.008682,0.007579,2022-12-31
47658,JPY,0.008682,0.007579,2022-12-31
47659,JPY,0.008682,0.007579,2022-12-31
47660,JPY,0.008682,0.007579,2022-12-31
47661,JPY,0.008682,0.007579,2022-12-31
47662,JPY,0.008682,0.007579,2022-12-31
47665,JPY,0.008682,0.007579,2022-12-31
68233,NZD,0.676750,0.632450,2022-12-31
68234,NZD,0.676750,0.632450,2022-12-31
68235,NZD,0.676750,0.632450,2022-12-31
68236,NZD,0.676750,0.632450,2022-12-31
68237,NZD,0.676750,0.632450,2022-12-31
68238,NZD,0.676750,0.632450,2022-12-31
68239,NZD,0.676750,0.632450,2022-12-31
68240,NZD,0.676750,0.632450,2022-12-31
68243,NZD,0.676750,0.632450,2022-12-31
68244,NZD,0.676750,0.632450,2022-12-31
68245,NZD,0.676750,0.632450,2022-12-31
68303,JPY,0.008682,0.007579,2022-12-31
68305,JPY,0.008682,0.007579,2022-12-31
68306,JPY,0.008682,0.007579,2022-12-31
68311,JPY,0.008682,0.007579,2022-12-31
68313,JPY,0.008682,0.007579,2022-12-31
68392,JPY,0.008682,0.007579,2022-12-31
68393,JPY,0.008682,0.007579,2022-12-31
68394,JPY,0.008682,0.007579,2022-12-31
68395,JPY,0.008682,0.007579,2022-12-31
68681,JPY,0.008682,0.007579,2022-12-31
68682,JPY,0.008682,0.007579,2022-12-31
68683,JPY,0.008682,0.007579,2022-12-31
68684,JPY,0.008682,0.007579,2022-12-31
68777,NZD,0.676750,0.632450,2022-12-31
68779,NZD,0.676750,0.632450,2022-12-31
68780,NZD,0.676750,0.632450,2022-12-31
68781,NZD,0.676750,0.632450,2022-12-31
68782,NZD,0.676750,0.632450,2022-12-31
68784,NZD,0.676750,0.632450,2022-12-31
78138,ZAR,0.068359,0.058772,2022-12-31
90326,JPY,0.008682,0.007579,2022-12-31
90327,JPY,0.008682,0.007579,2022-12-31
90328,JPY,0.008682,0.007579,2022-12-31
90331,JPY,0.008682,0.007579,2022-12-31
90333,JPY,0.008682,0.007579,2022-12-31
90339,JPY,0.008682,0.007579,2022-12-31
90378,USD,1.000000,1.000000,2022-12-31
90925,USD,1.000000,1.000000,2022-12-31
91109,JPY,0.008682,0.007579,2022-12-31
91110,JPY,0.008682,0.007579,2022-12-31
91111,JPY,0.008682,0.007579,2022-12-31
91112,JPY,0.008682,0.007579,2022-12-31
91118,USD,1.000000,1.000000,2022-12-31
91281,USD,1.000000,1.000000,2022-12-31
91282,USD,1.000000,1.000000,2022-12-31
91283,USD,1.000000,1.000000,2022-12-31
91284,USD,1.000000,1.000000,2022-12-31
91285,USD,1.000000,1.000000,2022-12-31
91293,USD,1.000000,1.000000,2022-12-31
91406,JPY,0.008679,0.007579,2022-12-31
91407,JPY,0.008679,0.007579,2022-12-31
91408,JPY,0.008679,0.007579,2022-12-31
91530,JPY,0.008682,0.007579,2022-12-31
91531,JPY,0.008682,0.007579,2022-12-31
91532,JPY,0.008682,0.007579,2022-12-31
91535,JPY,0.008682,0.007579,2022-12-31
91536,JPY,0.008682,0.007579,2022-12-31
91543,JPY,0.008682,0.007579,2022-12-31
91546,JPY,0.008682,0.007579,2022-12-31
91580,USD,1.000000,1.000000,2022-12-31
91585,USD,1.000000,1.000000,2022-12-31
91609,USD,1.000000,1.000000,2022-12-31
91732,JPY,0.008679,0.007579,2022-12-31
