EVENTYEAR,TOPUPZONE,LAYERID,CURRENCY,LIMITFACTOR,PREMIUMFACTOR,SHARE,PROJ_GROSSLOSS,PROJ_GROSSRP
1,Australia / New Zealand,96209,AUD,1,1.5,0.025,35000000,0
1,Australia / New Zealand,96210,AUD,1,1.5,0.025,5000000,0
1,Australia / New Zealand,96282,AUD,1,1.5,0.06,5000000,0
1,Australia / New Zealand,96283,AUD,1,1.5,0.06,35000000,0
1,Australia / New Zealand,96284,AUD,1,1.5,0.03,75000000,0
1,Australia / New Zealand,96730,AUD,1,1.5,0.01,7500000,0
1,Australia / New Zealand,96804,AUD,1,1.5,0.02,7500000,0
1,Australia / New Zealand,97979,AUD,1,1.5,0.1,3381315.881,0
1,Australia / New Zealand,98881,AUD,1,1.5,0.005,263049954,0
1,Australia / New Zealand,99827,AUD,1,1.5,0.01,86096196.83,0
1,Australia / New Zealand,99829,AUD,1,1.5,0.01,34634681.18,0
1,Australia / New Zealand,99899,AUD,1,1.5,0.09,86096196.83,0
1,Australia / New Zealand,99904,AUD,1,1.5,0.09,34634681.18,0
1,Australia / New Zealand,99990,AUD,1,1.5,0.01,3381315.881,0
1,Australia / New Zealand,100529,AUD,1,1.5,0.05,16474218.5,0
1,Australia / New Zealand,100775,AUD,1,1.5,0.0125,16474218.5,0
1,Australia / New Zealand,100980,AUD,1,1.5,0.15,20000000,8400000
1,Australia / New Zealand,100981,AUD,1,1.5,0.25,85438662.29,45736004.06
1,Australia / New Zealand,101352,AUD,1,1.5,0.25,19137644.87,0
1,Australia / New Zealand,102078,AUD,1,1.5,0.01,75000000,0
1,Australia / New Zealand,102079,AUD,1,1.5,0.01,35000000,0
1,Australia / New Zealand,102080,AUD,1,1.5,0.01,5000000,0
1,Australia / New Zealand,102281,AUD,1,1.5,0.01,33214835.46,0
1,Australia / New Zealand,102282,AUD,1,1.5,0.01,60000000,0
1,Australia / New Zealand,102283,AUD,1,1.5,0.01,20000000,0
1,Australia / New Zealand,102284,AUD,1,1.5,0.01,7500000,0
1,Australia / New Zealand,102290,AUD,1,1.5,0.01,16474218.5,0
1,Australia / New Zealand,102425,AUD,1,1.5,0.06,3381315.881,0
1,Australia / New Zealand,102453,AUD,1,1.5,0.005,263049954,0
1,Australia / New Zealand,102454,AUD,1,1.5,0.005,253644595.3,0
1,Chile,74693,CLF,2.21,2.873,0.047075,456267,107392.46
1,Chile,74694,CLF,2.21,2.873,0.0219,56320.28167,6167.068723
1,Chile,74699,CLF,2.21,2.873,0.03,56320.28167,5068.82535
1,Chile,95989,CLF,2.21,2.873,0.05553,200000,0
1,Chile,95990,CLF,2.21,2.873,0.03387,223840.3917,0
